6270.818099	6922.860289	true_or_false_round
6274.557530	6309.412149	true_or_false_instruction
6317.370027	6326.765363	statement_1
6340.147047	6348.994074	statement_2
6368.807265	6376.513218	statement_3
6391.599103	6396.874717	statement_4
6410.419412	6416.376706	statement_5
6428.943337	6436.916035	statement_6
6451.438793	6460.685937	statement_7
6473.919429	6484.515115	statement_8
6497.956076	6504.224572	statement_9
6521.755615	6533.922130	statement_10
6547.955856	6554.772661	statement_11
6577.505223	6582.988305	statement_12
6609.292279	6615.723786	statement_13
6630.424374	6640.086454	statement_14
6657.232199	6670.673160	statement_15
6692.427659	6702.015643	statement_16
6722.154855	6730.142372	statement_17
6744.516938	6756.772367	statement_18
6769.931764	6776.037250	statement_19
6788.752073	6795.761526	statement_20
6808.757913	6817.664216	statement_21
6838.173907	6847.598880	statement_22
6875.295854	6891.004143	statement_23
6906.341954	6911.365643	statement_24
7031.245168	7406.546588	riddle_round
7036.991410	7086.193605	riddle_instruction
7092.478557	7116.712224	riddle_1
7092.478557	7096.159743	riddle_1_clue_1
7096.608669	7097.732882	riddle_1_clue_2
7098.678214	7102.386820	riddle_1_clue_3
7103.332152	7107.949731	riddle_1_clue_4
7108.931421	7116.712224	riddle_1_clue_5
7193.388624	7240.000724	riddle_2
7193.388624	7201.751170	riddle_2_clue_1
7203.096449	7209.822844	riddle_2_clue_2
7210.986328	7214.913088	riddle_2_clue_3
7216.076573	7224.657272	riddle_2_clue_4
7225.348090	7233.419764	riddle_2_clue_5
7234.619608	7240.000724	riddle_2_clue_6
7267.997071	7318.535931	riddle_3
7267.997071	7272.941880	riddle_3_clue_1
7273.923570	7278.141202	riddle_3_clue_2
7279.195609	7286.940053	riddle_3_clue_3
7288.139897	7297.447773	riddle_3_clue_4
7309.737079	7318.535931	riddle_3_clue_5
7372.165296	7388.817669	riddle_4
7372.165296	7375.001290	riddle_4_clue_1
7375.764827	7379.582510	riddle_4_clue_2
7380.527841	7381.800403	riddle_4_clue_3
7382.963887	7388.817669	riddle_4_clue_4
