01:31:40.947	01:44:44.740	true_or_false_round
01:31:42.862	01:32:18.598	true_or_false_instruction
01:32:28.060	01:32:37.499	statement_1
01:32:52.452	01:33:00.556	statement_2
01:33:20.874	01:33:27.793	statement_3
01:33:48.099	01:34:00.591	statement_4
01:34:19.678	01:34:28.827	statement_5
01:34:47.310	01:35:01.613	statement_6
01:35:20.561	01:35:32.542	preamble_7_8_9
01:35:52.279	01:35:59.803	statement_7
01:36:21.165	01:36:29.803	statement_8
01:36:45.453	01:36:55.484	statement_9
01:37:16.103	01:37:23.627	preabmle_10_11_12
01:37:38.813	01:37:43.642	statement_10
01:38:00.871	01:38:06.166	statement_11
01:38:23.906	01:38:29.989	statement_12
01:38:50.701	01:39:06.166	statement_13
01:39:24.045	01:39:34.123	statement_14
01:39:52.885	01:40:02.916	statement_15
01:40:25.300	01:40:32.451	statement_16
01:40:53.071	01:41:00.130	statement_17
01:41:17.730	01:41:22.374	statement_18
01:41:39.371	01:41:48.799	statement_19
01:42:08.768	01:42:18.334	statement_20
01:42:32.963	01:42:45.827	statement_21
01:43:12.715	01:43:25.208	statement_22
01:43:46.802	01:43:57.809	statement_23
01:44:14.806	01:44:25.905	statement_24
01:46:47.092	01:52:00.280	riddle_round
01:46:58.619	01:47:46.763	riddle_instruction
01:47:51.340	01:48:33.508	riddle_1
01:47:51.340	01:47:53.798	riddle_1_clue_1
01:47:54.518	01:47:58.926	riddle_1_clue_2
01:47:59.858	01:48:02.740	riddle_1_clue_3
01:48:04.393	01:48:09.139	riddle_1_clue_4
01:48:23.040	01:48:33.508	riddle_1_clue_5
01:49:13.260	01:49:30.255	riddle_2
01:49:13.260	01:49:15.294	riddle_2_clue_1
01:49:16.439	01:49:19.871	riddle_2_clue_2
01:49:21.016	01:49:23.347	riddle_2_clue_3
01:49:24.237	01:49:26.695	riddle_2_clue_4
01:49:27.712	01:49:30.255	riddle_2_clue_4
01:49:57.123	01:50:17.190	riddle_3
01:49:57.123	01:49:59.984	riddle_3_clue_1
01:50:01.001	01:50:05.621	riddle_3_clue_2
01:50:06.786	01:50:10.304	riddle_3_clue_3
01:50:11.342	01:50:13.609	riddle_3_clue_4
01:50:14.754	01:50:17.190	riddle_3_clue_5
01:50:56.498	01:51:08.809	riddle_4
01:50:56.498	01:51:04.041	riddle_4_clue_1
01:51:05.143	01:51:08.809	riddle_4_clue_2
